timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1654010453469,11783,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,77,https://localhost:44339/graph/neighbourhoods,,11783,utf-8,1,0,patrick,0,36
1654010447321,18506,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,77,https://localhost:44339/listings,,17512,utf-8,1,0,patrick,0,12
1654010448578,17267,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,76,https://localhost:44339/listings,,16284,utf-8,1,0,patrick,0,12
1654010451069,14966,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,75,https://localhost:44339/listings,,13940,utf-8,1,0,patrick,0,7
1654010446820,20156,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,74,https://localhost:44339/listings,,18894,utf-8,1,0,patrick,0,10
1654010449157,17889,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,73,https://localhost:44339/listings,,16533,utf-8,1,0,patrick,0,11
1654010443521,23535,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,72,https://localhost:44339/listings,,22086,utf-8,1,0,patrick,0,14
1654010446242,20876,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,71,https://localhost:44339/listings,,19585,utf-8,1,0,patrick,0,16
1654010444824,22299,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,70,https://localhost:44339/listings,,21096,utf-8,1,0,patrick,0,7
1654010447914,19238,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,69,https://localhost:44339/listings,,17981,utf-8,1,0,patrick,0,27
1654010452154,15086,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,68,https://localhost:44339/listings,,13367,utf-8,1,0,patrick,0,18
1654010451736,15505,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,68,https://localhost:44339/listings,,13893,utf-8,1,0,patrick,0,7
1654010447412,19934,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,66,https://localhost:44339/listings,,19193,utf-8,1,0,patrick,0,13
1654010451491,16304,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,65,https://localhost:44339/listings,,15543,utf-8,1,0,patrick,0,12
1654010452232,16191,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,64,https://localhost:44339/listings,,15152,utf-8,1,0,patrick,0,11
1654010445653,22825,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,63,https://localhost:44339/listings,,13269,utf-8,1,0,patrick,0,31
1654010446069,22489,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,62,https://localhost:44339/listings,,12368,utf-8,1,0,patrick,0,12
1654010450990,17964,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,61,https://localhost:44339/listings,,16816,utf-8,1,0,patrick,0,10
1654010450742,18225,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,60,https://localhost:44339/listings,,17023,utf-8,1,0,patrick,0,8
