timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1654010102116,66,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,71,https://localhost:44339/listings/listings/id/23601178,,66,ISO-8859-1,1,0,patrick,0,57
1654010101152,1059,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,71,https://localhost:44339/graph/neighbourhoods,,1059,utf-8,1,0,patrick,0,23
1654010102224,18,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,72,https://localhost:44339/listings/listings/id/23601178,,18,ISO-8859-1,1,0,patrick,0,16
1654010102015,317,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,73,https://localhost:44339/listings/geojson,,276,utf-8,1,0,patrick,0,19
1654010101220,1209,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,73,https://localhost:44339/graph/neighbourhoods,,1209,utf-8,1,0,patrick,0,20
1654010100814,1668,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,73,https://localhost:44339/graph/neighbourhoods,,1668,utf-8,1,0,patrick,0,14
1654010102328,163,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,73,https://localhost:44339/listings/listings/id/23601178,,163,ISO-8859-1,1,0,patrick,0,24
1654010101019,1483,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,73,https://localhost:44339/graph/neighbourhoods,,1483,utf-8,1,0,patrick,0,132
1654010100908,1598,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,73,https://localhost:44339/graph/neighbourhoods,,1598,utf-8,1,0,patrick,0,13
1654010100328,2187,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,73,https://localhost:44339/graph/neighbourhoods,,2187,utf-8,1,0,patrick,0,47
1654010101317,1352,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,73,https://localhost:44339/graph/neighbourhoods,,1352,utf-8,1,0,patrick,0,13
1654010102225,528,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,73,https://localhost:44339/listings/geojson,,327,utf-8,1,0,patrick,0,16
1654010102126,634,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,73,https://localhost:44339/listings/geojson,,365,utf-8,1,0,patrick,0,47
1654010095417,7376,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,73,https://localhost:44339/listings,,5314,utf-8,1,0,patrick,0,12
1654010102329,519,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,72,https://localhost:44339/listings/geojson,,485,utf-8,1,0,patrick,0,12
1654010094810,8113,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,72,https://localhost:44339/listings,,6349,utf-8,1,0,patrick,0,15
1654010101410,1574,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,71,https://localhost:44339/graph/neighbourhoods,,1574,utf-8,1,0,patrick,0,10
1654010101819,1449,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,71,https://localhost:44339/graph/neighbourhoods,,1449,utf-8,1,0,patrick,0,14
1654010096322,7075,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,71,https://localhost:44339/listings,,5555,utf-8,1,0,patrick,0,13
1654010096219,7215,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,70,https://localhost:44339/listings,,5678,utf-8,1,0,patrick,0,33
1654010095937,7540,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,69,https://localhost:44339/listings,,6095,utf-8,1,0,patrick,0,40
1654010096823,6681,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,68,https://localhost:44339/listings,,5204,utf-8,1,0,patrick,0,12
1654010102132,1461,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,67,https://localhost:44339/graph/neighbourhoods,,1461,utf-8,1,0,patrick,0,50
1654010101924,1676,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,67,https://localhost:44339/graph/neighbourhoods,,1676,utf-8,1,0,patrick,0,10
1654010096625,7050,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,67,https://localhost:44339/listings,,5979,utf-8,1,0,patrick,0,17
1654010101523,2233,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,66,https://localhost:44339/graph/neighbourhoods,,2233,utf-8,1,0,patrick,0,11
1654010101722,2034,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,66,https://localhost:44339/graph/neighbourhoods,,2034,utf-8,1,0,patrick,0,43
1654010097116,6694,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,66,https://localhost:44339/listings,,5678,utf-8,1,0,patrick,0,12
1654010102015,1820,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,65,https://localhost:44339/graph/neighbourhoods,,1820,utf-8,1,0,patrick,0,25
1654010095016,8869,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,65,https://localhost:44339/listings,,7837,utf-8,1,0,patrick,0,7
1654010102330,1584,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,64,https://localhost:44339/graph/neighbourhoods,,1584,utf-8,1,0,patrick,0,10
1654010097613,6339,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,64,https://localhost:44339/listings,,5356,utf-8,1,0,patrick,0,14
1654010095224,8734,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,63,https://localhost:44339/listings,,7729,utf-8,1,0,patrick,0,14
1654010101617,2393,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,62,https://localhost:44339/graph/neighbourhoods,,2393,utf-8,1,0,patrick,0,13
1654010097211,6845,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,62,https://localhost:44339/listings,,6121,utf-8,1,0,patrick,0,16
1654010097418,6675,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,61,https://localhost:44339/listings,,5920,utf-8,1,0,patrick,0,41
1654010095630,8726,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,60,https://localhost:44339/listings,,7936,utf-8,1,0,patrick,0,18
1654010102226,2443,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,59,https://localhost:44339/graph/neighbourhoods,,2443,utf-8,1,0,patrick,0,14
1654010095518,9344,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,59,https://localhost:44339/listings,,8633,utf-8,1,0,patrick,0,14
1654010095720,9556,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,58,https://localhost:44339/listings,,8577,utf-8,1,0,patrick,0,14
1654010096714,8618,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,57,https://localhost:44339/listings,,7630,utf-8,1,0,patrick,0,14
1654010096512,8886,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,56,https://localhost:44339/listings,,8004,utf-8,1,0,patrick,0,13
1654010095822,9677,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,55,https://localhost:44339/listings,,8797,utf-8,1,0,patrick,0,113
1654010096917,8615,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,54,https://localhost:44339/listings,,7764,utf-8,1,0,patrick,0,14
1654010097536,8178,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,53,https://localhost:44339/listings,,7275,utf-8,1,0,patrick,0,19
1654010097333,8387,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,52,https://localhost:44339/listings,,7501,utf-8,1,0,patrick,0,14
1654010096020,9770,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,51,https://localhost:44339/listings,,8818,utf-8,1,0,patrick,0,14
1654010098228,7741,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,50,https://localhost:44339/listings,,6697,utf-8,1,0,patrick,0,56
1654010097707,8323,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,49,https://localhost:44339/listings,,7323,utf-8,1,0,patrick,0,20
1654010097816,8340,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,48,https://localhost:44339/listings,,7486,utf-8,1,0,patrick,0,11
1654010096123,10121,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,47,https://localhost:44339/listings,,9301,utf-8,1,0,patrick,0,20
1654010098818,7434,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,46,https://localhost:44339/listings,,6568,utf-8,1,0,patrick,0,13
1654010096416,9974,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,45,https://localhost:44339/listings,,9152,utf-8,1,0,patrick,0,19
1654010098913,7706,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,44,https://localhost:44339/listings,,6746,utf-8,1,0,patrick,0,19
1654010100610,6030,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,43,https://localhost:44339/listings,,5140,utf-8,1,0,patrick,0,13
1654010098020,8692,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,42,https://localhost:44339/listings,,7730,utf-8,1,0,patrick,0,11
1654010097013,9986,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,41,https://localhost:44339/listings,,9265,utf-8,1,0,patrick,0,23
1654010098725,8304,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,40,https://localhost:44339/listings,,7543,utf-8,1,0,patrick,0,14
1654010099028,8037,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,39,https://localhost:44339/listings,,7279,utf-8,1,0,patrick,0,20
1654010099614,7499,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,38,https://localhost:44339/listings,,6749,utf-8,1,0,patrick,0,28
1654010101923,5340,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,37,https://localhost:44339/listings,,4504,utf-8,1,0,patrick,0,12
1654010099319,7966,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,36,https://localhost:44339/listings,,7111,utf-8,1,0,patrick,0,13
1654010099209,8090,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,35,https://localhost:44339/listings,,7249,utf-8,1,0,patrick,0,13
1654010099708,7734,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,34,https://localhost:44339/listings,,6969,utf-8,1,0,patrick,0,16
1654010098631,8825,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,33,https://localhost:44339/listings,,8038,utf-8,1,0,patrick,0,11
1654010099912,7704,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,32,https://localhost:44339/listings,,6964,utf-8,1,0,patrick,0,17
1654010098432,9323,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,31,https://localhost:44339/listings,,8512,utf-8,1,0,patrick,0,9
1654010100518,7248,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,30,https://localhost:44339/listings,,6471,utf-8,1,0,patrick,0,18
1654010101522,6415,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,29,https://localhost:44339/listings,,5709,utf-8,1,0,patrick,0,21
1654010100814,7169,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,28,https://localhost:44339/listings,,6412,utf-8,1,0,patrick,0,13
1654010100719,7405,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,27,https://localhost:44339/listings,,6656,utf-8,1,0,patrick,0,13
1654010100130,8007,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,26,https://localhost:44339/listings,,7210,utf-8,1,0,patrick,0,44
1654010098118,10111,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,25,https://localhost:44339/listings,,9338,utf-8,1,0,patrick,0,19
